Height Genre Hours Work Smoker Commute How Sport Internet TV Year
174.53 M 9 N N 12 O 0 150 100 2013
174.5 M 10 N N 40 A 0 500 0 2013
177 M NA N N 60 A 1 120 20 2013
193 M 2 N N 25 A 4 120 90 2013
187 M 2 N N 20 X 4 150 45 2013
168 F 14 N N 80 X 3 120 12 2013
16 F 8 N N 42 A 0 120 60 2013
166 F 8 N N 20 A 2 70 10 2013
180 M 14 N N 30 A 3 150 150 2013
173 M 8 N N 42 A 0 120 45 2013
177 M 6 N N 40 A 0 90 60 2013
1.82 M & N N 40 A 2 60 120 2013
185 M 7 N N 60 X 1 NA 10 2013
179 M 17 Y N 60 A 5 200 60 2013
182 M 8 N N 30 A 3 60 30 2013
182 M 6 N N 60 A 4 240 20 2013
NA M 3 N N 30 B 3 100 30 2013
1.79 M NA N N 20 A 0 180 30 2013
182 M 15 Y N 10 B 7 60 20 2013
178 M 16 N N 15 O 3 90 0 2013
NA M 15 N N 10 O 2 100 100 2013
185 M 4 Y N 20 A 5 120 30 2013
191 M 2 N N 25 A 2.5 180 0 2013
1.73 M 2 Y N 25 A 3 NA NA 2013
158 F 10 Y N 25 B 0 240 30 2012
163 F 20 N N 25 A 0 180 0 2012
187 M 8 N N 70 A 3 357 26.5 2012
173 M 7.45 N N 10 O 8 235 15 2012
165 M 3.5 N N 90 A 3 240 60 2012
179 M 2.5 N N 45 A 0 60 60 2012
190 M 14 N N 25 A 2 120 0 2012
171 M 7 N N 120 X 4 100 0 2012
182 M 9 Y N 30 A 5 180 0 2012
162 M 4 N N 120 X 1 120 5 2012
175 F 6 Y N 25 A 2 120 20 2012
164 F 6 N N 70 A 4 50 30 2012
170 M 2 N N 15 X 5 1440 15 2012
160 F 5 Y N 15 B 3 40 20 2012
168 F 8 Y N 30 A 3 100 120 2012
160 F 10 N N 30 A 2 120 60 2012
160 F NA N N 80 A NA NA NA 2012
174 M 2 N N 30 B 5 180 25 2012
183 M NA N N 35 A O 480 120 2012
178 M NA N N 1 O 5 600 180 2012
164 F NA Y N 25 X 6 300 120 2012
NA M 28 N Y 15 A NA 3 3 2012
187 M 14 N N 20 A 4 90 20 2012
185 M 4 N N 50 X 4 120 20 2012
177 M 3.5 NA N 50 X 1 300 60 2012
177 M 6 N N 45 A 1 100 120 2012
NA M 14 N N 80 X 3 60 40 2012
186 M 6 N N 30 A 6 120 180 2012
172 M 4 Y N 20 A 2 180 60 2012
180 M 2 N N 60 A 2 45 30 2011
173 M 120 Y N 60 A 2 60 60 2011
183 M 5 Y N 20 X 4 90 50 2011
177 M 5 N N 20 B 2 100 30 2011
165 F 4 N N 22.5 X 2.5 180 90 2011
163 F 4 N N 30 A 3 180 70 2011
179 M 2 Y N 15 A 160 20 60 2011
180 M 3 N N 20 B 2 1.5 30 2011
180 M 12.5 N N 90 X 5 60 60 2011
NA M 3 Y N 50 X 0 60 90 2011
187 M 4 N N 2 O 0 180 20 2011
158 F 7.5 N N 30 A 1 420 120 2011
162 F 7.5 N N 15 A 2 180 180 2011
155 F 31.5 Y N 195 A 4 120 45 2011
176 M 12 Y N 20 B 6 90 60 2011
173 M 4 N N 3 O 4 90 30 2011
173 M 3.5 N N 3 O 4 90 20 2011
178 M 3 N N 25 X 4 40 30 2011
183 M 4 N N 50 A 3 50 50 2011
174 M 2 N N 30 A 6.5 60 90 2011
183 M 70 N N 60 X o 150 0 2011
180 M 1 N N 60 A 2 300 120 2011
191 M 10 N N 8 O 2 120 120 2010
174 M 20 N N 50 X 3 60 60 2010
182 M 15 Y N 50 A 2 120 60 2010
175 M 10 N N 60 A 2 120 120 2010
173 M 2 N N 80 A 4 60 20 2010
172 M NA N N 75 X 0 180 60 2010
173 M 3 N N 60 A 2 90 30 2010
173 M 5 N N 10 O 3 100 60 2010
177 M 13 N N 45 A 3 60 60 2010
175 M 10 N N 20 A 3 150 30 2010
170 M 4 N N 40 X 7 NA NA 2010
185 M 25 Y N 35 A 4 120 120 2010
172 M 5 N N 15 O 1 60 90 2010
180 M 3.5 Y N 10 O 4 60 60 2010
181 M 2 N N 28 A 0 60 30 0
177 M 6 N N 49 X 3 90 30 0
167 M 8 N N 17 O 4 60 60 0
155 M 7 N N 4 B 4 30 30 0
163 F 8 N Y 34 A 2 30 60 0
173 M 8 N N 3 B 5 90 30 0
166 F 11 N N 45 A 5 90 0 0
155 M 8 N N 38 A 6 90 90 0
166 M 6 N N 35 B 3 90 120 0
178 M 8 N N 16 X 5 90 90 0
159 F 6 Y Y 31 A 1 90 30 0
162 M 4 Y N 45 A 5 30 90 0
165 M 3 N N 37 A 0 90 90 0
159 F 4 Y Y 18 A 3 30 30 0
